"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.518029542E0,2.204510498E1,7.620895386E0,-4.561672974E1,5.123427302E1
1.528002542E0,2.208768463E1,7.728622437E0,-4.552877808E1,5.119049766E1
1.537976542E0,2.210112762E1,7.854598999E0,-4.557226562E1,5.125413117E1
1.547949542E0,2.226754761E1,7.806068420E0,-4.576733398E1,5.149201143E1
1.557922542E0,2.252302551E1,7.589080811E0,-4.588894653E1,5.167858589E1
1.567895542E0,2.236196136E1,7.699020386E0,-4.592684937E1,5.165856873E1
1.577868542E0,2.216094971E1,7.859764099E0,-4.590802002E1,5.157935523E1
1.587842542E0,2.204005432E1,7.688735962E0,-4.593667603E1,5.152726326E1
1.597815542E0,2.204988098E1,7.446601868E0,-4.584231567E1,5.141174026E1
1.607788542E0,2.212342072E1,7.595138550E0,-4.575759888E1,5.138958775E1
1.617761542E0,2.221582031E1,7.742271423E0,-4.566653442E1,5.137039814E1
1.627734542E0,2.183511353E1,7.631134033E0,-4.594607544E1,5.143975348E1
1.637708542E0,2.229254913E1,7.812461853E0,-4.576208496E1,5.149913326E1
1.647681542E0,2.194094086E1,7.817810059E0,-4.577917480E1,5.136395512E1
1.657654542E0,2.187174988E1,7.861030579E0,-4.570303345E1,5.127315585E1
1.667627542E0,2.220106506E1,8.054634094E0,-4.602770996E1,5.173310840E1
1.677600542E0,2.193593597E1,8.103485107E0,-4.590811157E1,5.152093231E1
1.687574542E0,2.173979950E1,8.073120117E0,-4.583428955E1,5.136707359E1
1.697547542E0,2.156423187E1,7.963516235E0,-4.608087158E1,5.149641165E1
1.707520542E0,2.126187897E1,7.850311279E0,-4.579110718E1,5.109325181E1
1.717493542E0,2.097853088E1,7.743209839E0,-4.618460083E1,5.131348176E1
1.727466542E0,2.087093353E1,7.956565857E0,-4.610134888E1,5.122730888E1
1.737440542E0,2.053994751E1,7.848342896E0,-4.601245117E1,5.099638804E1
1.747413542E0,2.072721863E1,7.867393494E0,-4.631225586E1,5.134528718E1
1.757386542E0,2.065892029E1,8.237754822E0,-4.634149170E1,5.140219300E1
1.767359542E0,2.046200562E1,8.203773499E0,-4.619506836E1,5.118573936E1
1.777332542E0,2.025580597E1,8.408554077E0,-4.616275024E1,5.110773882E1
1.787306542E0,2.004922485E1,8.318855286E0,-4.662527466E1,5.143044825E1
1.797279542E0,1.994238281E1,8.589241028E0,-4.648361206E1,5.130496939E1
1.807252542E0,1.993176270E1,8.548309326E0,-4.638708496E1,5.120654653E1
1.817225292E0,2.005433655E1,8.539649963E0,-4.622244263E1,5.110397478E1
1.827198292E0,1.973002625E1,8.639915466E0,-4.613671875E1,5.091678399E1
1.837172292E0,1.947256470E1,8.958686829E0,-4.623767090E1,5.096431159E1
1.847145292E0,1.938050079E1,9.113609314E0,-4.637170410E1,5.107833814E1
1.857118292E0,1.951797485E1,9.259460449E0,-4.688714600E1,5.162454271E1
1.867091292E0,1.975271606E1,9.413513184E0,-4.654943848E1,5.143572926E1
1.877064292E0,1.971719360E1,9.555145264E0,-4.668402100E1,5.157001397E1
1.887038292E0,1.971760559E1,9.773063660E0,-4.665844727E1,5.158786141E1
1.897011292E0,1.941526794E1,9.851638794E0,-4.685592651E1,5.166706171E1
1.906984292E0,1.948708344E1,1.009821320E1,-4.664935303E1,5.155465516E1
1.916957292E0,1.953546906E1,1.023233032E1,-4.656942749E1,5.152714539E1
1.926930292E0,1.917055511E1,1.038282013E1,-4.670755005E1,5.154520704E1
1.936904292E0,1.900839996E1,1.037993622E1,-4.659716797E1,5.138441795E1
1.946877292E0,1.911585236E1,1.069397736E1,-4.657592773E1,5.146935017E1
1.956850292E0,1.907208252E1,1.082929993E1,-4.639489746E1,5.131768291E1
1.966823292E0,1.892308044E1,1.129643250E1,-4.653799438E1,5.149249734E1
1.976796292E0,1.884546661E1,1.119828033E1,-4.643984985E1,5.135379975E1
1.986770292E0,1.877523804E1,1.123144531E1,-4.663339233E1,5.151046697E1
1.996743292E0,1.884066772E1,1.112928772E1,-4.662490845E1,5.150450362E1
2.006716292E0,1.869618225E1,1.144197083E1,-4.665625000E1,5.154873026E1
2.016689292E0,1.814209747E1,1.143935394E1,-4.654061890E1,5.124474340E1
2.026662292E0,1.821541595E1,1.158148956E1,-4.617651367E1,5.097256805E1
2.036636292E0,1.804156494E1,1.190010834E1,-4.587478638E1,5.071101132E1
2.046609292E0,1.780916595E1,1.222630310E1,-4.616708374E1,5.097105552E1
2.056582292E0,1.764645386E1,1.246654510E1,-4.620257568E1,5.100480448E1
2.066555292E0,1.753416443E1,1.253546143E1,-4.633178711E1,5.110009014E1
2.076528292E0,1.736443329E1,1.254695129E1,-4.641836548E1,5.112351889E1
2.086502292E0,1.723445129E1,1.305541992E1,-4.641091919E1,5.120003634E1
2.096475292E0,1.685693359E1,1.322477722E1,-4.605209351E1,5.079218699E1
2.106448292E0,1.653726959E1,1.332923889E1,-4.629400635E1,5.093412332E1
2.116421292E0,1.638577271E1,1.341910553E1,-4.651623535E1,5.111091950E1
2.126394292E0,1.592115784E1,1.364895630E1,-4.645996094E1,5.097357399E1
2.136368292E0,1.561386108E1,1.382827759E1,-4.648001099E1,5.094512087E1
2.146341292E0,1.546430206E1,1.376531982E1,-4.672412109E1,5.110550029E1
2.156314292E0,1.510912323E1,1.410282898E1,-4.699630737E1,5.134031843E1
2.166287292E0,1.470265961E1,1.408267212E1,-4.705978394E1,5.127487804E1
2.176260292E0,1.447618866E1,1.421795654E1,-4.703170776E1,5.122198611E1
2.186234292E0,1.425027466E1,1.431118774E1,-4.697293091E1,5.113058440E1
2.196207292E0,1.416435242E1,1.442176056E1,-4.705996704E1,5.121773672E1
2.206180292E0,1.387808990E1,1.458358765E1,-4.711877441E1,5.123925556E1
2.216153292E0,1.383435822E1,1.450877380E1,-4.729824829E1,5.137137604E1
2.226126292E0,1.352716827E1,1.490989685E1,-4.711581421E1,5.123660073E1
2.236100292E0,1.337615967E1,1.488096619E1,-4.693527222E1,5.102239293E1
2.246073292E0,1.311125183E1,1.520877838E1,-4.701229858E1,5.112111191E1
2.256046292E0,1.268445587E1,1.514367676E1,-4.685736084E1,5.085114189E1
2.266019292E0,1.246712494E1,1.560297394E1,-4.689035034E1,5.096652779E1
2.275992292E0,1.215859985E1,1.572251129E1,-4.705273438E1,5.107826078E1
2.285966292E0,1.210989380E1,1.575141907E1,-4.677041626E1,5.081563310E1
2.295939292E0,1.206838226E1,1.594937134E1,-4.720816040E1,5.127025166E1
2.305912292E0,1.168902588E1,1.599337769E1,-4.706204224E1,5.106130898E1
2.315885292E0,1.164553833E1,1.619383240E1,-4.725296021E1,5.129035990E1
2.325859292E0,1.170427704E1,1.614737701E1,-4.705389404E1,5.110574165E1
2.335832292E0,1.127588654E1,1.608955383E1,-4.684722900E1,5.080041560E1
2.345805292E0,1.129388428E1,1.634545135E1,-4.677978516E1,5.082395008E1
2.355778292E0,1.129388428E1,1.634545135E1,-4.677978516E1,5.082395008E1
2.365751292E0,1.112373352E1,1.687474823E1,-4.658666992E1,5.078200852E1
2.375725292E0,1.115380859E1,1.693537903E1,-4.672476196E1,5.093542863E1
2.385698292E0,1.102133179E1,1.698523712E1,-4.687478638E1,5.106088163E1
2.395671292E0,1.099016571E1,1.703551483E1,-4.701800537E1,5.120239581E1
2.405644292E0,1.096955109E1,1.714151001E1,-4.683270264E1,5.106333766E1
2.415617292E0,1.096477509E1,1.743771362E1,-4.680511475E1,5.113725565E1
2.425591292E0,1.097084045E1,1.746758270E1,-4.641931152E1,5.079594736E1
